"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
4,0,12,4.938,6379346383,2779346383,-15,0.009989716112613678,4.769731044769287,-1.278048396110535
31,1,13,9.584,6379346386,2779346386,1,0.0217420756816864,9.582515716552734,0.1672638654708862
3,2,14,5.7,6379346388,2779346388,-13,0.01357074733823538,5.553892612457275,-1.282220959663391
46,3,15,9.592000000000001,6379346390,2779346390,3,0.02507735416293144,9.578822135925293,0.502006471157074
4,4,15,6.766,6379346393,2779346393,-11,0.01738788187503815,6.641666889190674,-1.291013717651367
42,5,16,9.492000000000001,6379346395,2779346395,5,0.02640576474368572,9.455842971801758,0.8272823095321655
5,6,17,8.368,6379346397,2779346397,-9,0.02452264167368412,8.264939308166504,-1.309043645858765
16,7,18,9.522,6379346399,2779346399,7,0.02969121932983398,9.45097827911377,1.160439848899841
21,8,19,9.628,6379346402,2779346402,-7,0.03168961405754089,9.556181907653809,-1.173358082771301
2,9,19,8.272,6379346404,2779346404,9,0.02709322050213814,8.170112609863281,1.294025897979736
29,10,20,9.598000000000001,6379346406,2779346406,-5,0.03337578102946281,9.561418533325195,-0.836520791053772
3,11,21,9.322000000000001,6379346409,2779346409,11,0.03353909775614738,9.150667190551758,1.778721451759338
38,12,22,9.574,6379346411,2779346411,-3,0.03671105206012726,9.560809135437012,-0.5010644197463989
7,13,23,7.968,6379346413,2779346413,13,0.03116573020815849,7.763718128204346,1.792410016059875
34,14,24,9.561999999999999,6379346416,2779346416,-1,0.04004699364304543,9.560460090637207,-0.1668799072504044
11,15,24,6.994,6379346418,2779346418,15,0.02829806506633759,6.75562572479248,1.810180425643921
4,0,32,4.934,6379346439,2779346439,-15,0.02661754563450813,4.765803813934326,-1.277013182640076
34,1,33,9.572000000000001,6379346441,2779346441,1,0.05512206256389618,9.570383071899414,0.1670544296503067
4,2,34,5.718,6379346443,2779346443,-13,0.0330614447593689,5.57135009765625,-1.286270141601563
